"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"240608989","2024 May 04 12:00:00 AM","2024 May 04 12:00:00 AM","0200","06","Hollywood","0668","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1300 1822 0344 1501","31","M","W","707","GARAGE/CARPORT",,,"IC","Invest Cont","420",,,,"5600    LEXINGTON                    AV",,"34.0928","-118.3109"
"241607901","2024 May 04 12:00:00 AM","2024 May 04 12:00:00 AM","0230","16","Foothill","1687","1","510","VEHICLE - STOLEN",,"0",,,"108","PARKING LOT",,,"AA","Adult Arrest","510",,,,"11000    LORNE                        ST",,"34.2175","-118.3703"
"241211942","2024 May 23 12:00:00 AM","2024 May 21 12:00:00 AM","1000","12","77th Street","1215","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,"0",,,"101","STREET",,,"IC","Invest Cont","341",,,,"52ND                         ST","VERMONT                      AV","33.995","-118.2915"
"241211403","2024 May 07 12:00:00 AM","2024 May 04 12:00:00 AM","1925","12","77th Street","1241","1","330","BURGLARY FROM VEHICLE","1300 1307 1822 0344 0346 1302 0329","59","F","B","122","VEHICLE, PASSENGER/TRUCK",,,"IC","Invest Cont","330",,,,"6300    10TH                         AV",,"33.9829","-118.3279"
"240210377","2024 May 31 12:00:00 AM","2024 May 30 12:00:00 AM","1544","02","Rampart","0281","1","440","THEFT PLAIN - PETTY ($950 & UNDER)","1822 0344 0394","26","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","440",,,,"1200 S  LAKE                         ST",,"34.0493","-118.2829"
"241008948","2024 May 19 12:00:00 AM","2024 May 14 12:00:00 AM","0110","10","West Valley","1077","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1822 0344 0377","37","M","B","124","BUS STOP",,,"IC","Invest Cont","341",,,,"17400    VENTURA                      BL",,"34.1611","-118.5116"
"241908773","2024 May 10 12:00:00 AM","2024 May 01 12:00:00 AM","0030","19","Mission","1998","1","310","BURGLARY","0344","76","F","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","310",,,,"8000    WAKEFIELD                    AV",,"34.2171","-118.4391"
"240310678","2024 May 21 12:00:00 AM","2024 May 03 12:00:00 AM","1300","03","Southwest","0315","2","354","THEFT OF IDENTITY","0100 0929 1822","71","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"2600 S  MANHATTAN                    PL",,"34.0327","-118.3101"
"240609203","2024 May 14 12:00:00 AM","2024 May 14 12:00:00 AM","0735","06","Hollywood","0657","2","740","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1822 0329 1501","38","F","W","704","ELEMENTARY SCHOOL","500","UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont","740",,,,"1000 N  VAN NESS                     AV",,"34.089","-118.3157"
"240407744","2024 May 22 12:00:00 AM","2024 May 22 12:00:00 AM","1728","04","Hollenbeck","0469","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325","0","X","X","203","OTHER BUSINESS",,,"IC","Invest Cont","442",,,,"3400 E  4TH                          ST",,"34.034","-118.1969"
"241607990","2024 May 06 12:00:00 AM","2024 May 06 12:00:00 AM","0400","16","Foothill","1611","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"11600    WOODCOCK                     AV",,"34.2814","-118.4269"
"242008735","2024 May 06 12:00:00 AM","2024 May 04 12:00:00 AM","1814","20","Olympic","2029","2","354","THEFT OF IDENTITY","0100 0929 0930 1822","32","M","K","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"400 S  VIRGIL                       AV",,"34.0667","-118.2871"
"242008907","2024 May 13 12:00:00 AM","2024 May 13 12:00:00 AM","0300","20","Olympic","2039","1","510","VEHICLE - STOLEN",,"0",,,"707","GARAGE/CARPORT",,,"IC","Invest Cont","510",,,,"2900    LEEWARD                      AV",,"34.0587","-118.2869"
"240310680","2024 May 22 12:00:00 AM","2024 May 22 12:00:00 AM","1513","03","Southwest","0373","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"3800    CRENSHAW                     BL",,"34.0173","-118.3349"
