"DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Mocodes","Vict Age","Vict Sex","Vict Descent","Premis Cd","Premis Desc","Weapon Used Cd","Weapon Desc","Status","Status Desc","Crm Cd 1","Crm Cd 2","Crm Cd 3","Crm Cd 4","LOCATION","Cross Street","LAT","LON"
"240908101","2024 Apr 17 12:00:00 AM","2024 Apr 01 12:00:00 AM","0001","09","Van Nuys","0914","2","354","THEFT OF IDENTITY","0930 1822","61","M","H","402","MARKET",,,"IC","Invest Cont","354",,,,"15100    SHERMAN                      WY",,"34.2011","-118.4617"
"240608883","2024 Apr 24 12:00:00 AM","2024 Apr 18 12:00:00 AM","1930","06","Hollywood","0636","1","341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","1501","72","F","W","210","RESTAURANT/FAST FOOD",,,"IC","Invest Cont","341",,,,"6600    HOLLYWOOD                    BL",,"34.1034","-118.3325"
"241209568","2024 Apr 06 12:00:00 AM","2024 Apr 05 12:00:00 AM","1600","12","77th Street","1243","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"1600 W  65TH                         ST",,"33.9806","-118.3046"
"240708481","2024 Apr 29 12:00:00 AM","2024 Apr 26 12:00:00 AM","2230","07","Wilshire","0753","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"122","VEHICLE, PASSENGER/TRUCK",,,"IC","Invest Cont","420",,,,"1200 S  ORANGE GROVE                 AV",,"34.0543","-118.3644"
"241308593","2024 Apr 22 12:00:00 AM","2024 Apr 21 12:00:00 AM","1900","13","Newton","1371","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"200 W  53RD                         ST",,"33.9942","-118.2762"
"241008270","2024 Apr 28 12:00:00 AM","2024 Apr 27 12:00:00 AM","1700","10","West Valley","1008","2","930","CRIMINAL THREATS - NO WEAPON DISPLAYED","1258 1822 0400 0408 0421 0448","13","M","H","501","SINGLE FAMILY DWELLING","511","VERBAL THREAT","IC","Invest Cont","930",,,,"7700    HAYVENHURST                  AV",,"34.2111","-118.4924"
"241708692","2024 Apr 23 12:00:00 AM","2024 Apr 23 12:00:00 AM","1455","17","Devonshire","1793","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2024 1259 0411 1402 1251 1822 1300 1313","16","M","H","101","STREET","207","OTHER KNIFE","JA","Juv Arrest","230","998",,,"VANALDEN                     AV","COMMUNITY                    ST","34.2228","-118.5492"
"240907718","2024 Apr 07 12:00:00 AM","2024 Apr 06 12:00:00 AM","1420","09","Van Nuys","0904","2","888","TRESPASSING","0360 1501","73","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"AO","Adult Other","888",,,,"15100    SHERMAN                      WY",,"34.2013","-118.4659"
"240507589","2024 Apr 04 12:00:00 AM","2024 Apr 04 12:00:00 AM","2050","05","Harbor","0585","2","850","INDECENT EXPOSURE","1822 0529 0907 1402 2004","38","M","W","102","SIDEWALK",,,"IC","Invest Cont","850","998",,,"600 W  22ND                         ST",,"33.7243","-118.2902"
"240208822","2024 Apr 14 12:00:00 AM","2024 Apr 13 12:00:00 AM","2200","02","Rampart","0248","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","0344 1302 1822","34","F","H","108","PARKING LOT",,,"IC","Invest Cont","420",,,,"300    LOMA                         DR",,"34.0599","-118.2656"
"241209981","2024 Apr 12 12:00:00 AM","2024 Apr 12 12:00:00 AM","1250","12","77th Street","1218","1","236","INTIMATE PARTNER - AGGRAVATED ASSAULT","0913 0400 0447 1814 2000","28","F","H","501","SINGLE FAMILY DWELLING","500","UNKNOWN WEAPON/OTHER WEAPON","AO","Adult Other","236",,,,"900 W  53RD                         ST",,"33.9941","-118.2896"
"241409040","2024 Apr 27 12:00:00 AM","2024 Apr 26 12:00:00 AM","0800","14","Pacific","1453","1","420","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",,"0",,,"710","OTHER PREMISE",,,"IC","Invest Cont","420",,,,"4000    GLENCOE                      AV",,"33.9918","-118.4446"
"241708000","2024 Apr 05 12:00:00 AM","2024 Apr 05 12:00:00 AM","1945","17","Devonshire","1764","1","442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0325","0","X","X","406","OTHER STORE",,,"IC","Invest Cont","442",,,,"NORDHOFF","CORBIN","34.2355","-118.5623"
"240608185","2024 Apr 03 12:00:00 AM","2024 Apr 02 12:00:00 AM","1530","06","Hollywood","0666","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"SANTA MONICA                 BL","COLE","34.0907","-118.3299"
"240808095","2024 Apr 29 12:00:00 AM","2024 Apr 28 12:00:00 AM","1135","08","West LA","0811","1","330","BURGLARY FROM VEHICLE","1822 0377 0930 0344 1300","28","F","W","101","STREET",,,"IC","Invest Cont","330",,,,"500    LOS LIONES                   DR",,"34.046","-118.5593"
